"Timestamp","What is your age range?","Gender","Country of residence","Main occupation","Approximate monthly income (after taxes)","Have you interacted (purchase, website, social media) with Gucci, Dior, or Louis Vuitton in the last 12 months?","How often have you purchased products from any of these brands in the last 12 months?","Have you purchased online (website/app) from these brands in the last 12 months?","Which brand attracts you the most currently?","I frequently consume luxury brand content on social media.","I actively interact (likes, comments, shares, saves) with luxury brand content.","I follow influencers or accounts that talk about these brands.","Digital content from these brands generates excitement or interest in me.","The online experience of these brands is consistent with their physical store experience.","The digital experience (website, app, social media) feels premium and exclusive.","Personalized recommendations (emails, suggestions, tailored content) feel useful to me.","Digital innovation (e.g., AR, virtual experiences, online personalization) increases my interest in these brands.","I feel emotionally connected to at least one of these brands.","These brands make me feel unique or part of an exclusive group.","I prefer these brands over similar ones, even if they cost more.","I would recommend these brands to friends or family.","What is your intention to purchase again from these brands in the next 12 months?","If these brands improve their digital presence, my loyalty would increase.","My digital interactions with these brands strengthen my loyalty."
"2026/02/18 1:54:32 pm CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Never","No, but I would consider it","None / I switch frequently","5","4","4","4","3","4","4","3","2","4","4","4","2","3","3"
"2026/02/18 1:56:15 pm CET","18-24","Female","Belgium","Student","I'm still a student","Yes","Never","No, but I would consider it","None / I switch frequently","5","4","5","5","4","4","4","4","3","4","4","5","2","3","3"
"2026/02/18 1:57:40 pm CET","18-24","Female","Spain","Junior professional","1,500–2,500€","Yes","Never","No, but I would consider it","Gucci","5","5","5","5","3","4","5","5","3","4","4","5","1","4","3"
"2026/02/18 1:59:47 pm CET","45-54","Female","Spain","Senior professional / Management","7,000€+","Yes","Once","No, but I would consider it","Gucci","4","1","2","4","4","4","5","4","1","4","4","4","3","3","2"
"2026/02/18 4:01:08 pm CET","45-54","Female","Spain","Senior professional / Management","Prefer not to say","Yes","Never","No, but I would consider it","Gucci","4","4","3","4","3","3","4","4","3","2","3","3","3","2","3"
"2026/02/18 4:03:23 pm CET","45-54","Female","France","Senior professional / Management","7,000€+","Yes","2–4 times","No, but I would consider it","Louis Vuitton","5","5","4","4","3","3","4","4","4","5","4","4","4","2","4"
"2026/02/18 4:10:57 pm CET","18-24","Male","Spain ","Student","I'm still a student","Yes","Never","No, but I would consider it","Louis Vuitton","4","4","3","4","3","2","4","4","2","2","2","3","2","4","4"
"2026/02/18 4:22:52 pm CET","25-34","Female","Spain","Junior professional","2,501–4,000€","Yes","Never","No, but I would consider it","Dior","5","5","5","5","3","3","5","5","1","3","2","3","1","2","3"
"2026/02/18 6:46:18 pm CET","18-24","Female","Spain","Student","I'm still a student","Yes","Never","No, but I would consider it","Dior","5","5","5","5","3","4","4","5","5","5","3","4","3","4","5"
"2026/02/18 7:20:23 pm CET","45-54","Male","USA","Senior professional / Management","7,000€+","Yes","2–4 times","1–2 times","Louis Vuitton","3","3","3","3","3","3","4","4","3","4","3","4","5","3","5"
"2026/02/18 7:27:20 pm CET","25-34","Female","Spain","Junior professional","4,001–7,000€","Yes","Once","No, but I would consider it","Gucci","4","4","5","4","3","4","5","5","3","4","3","3","3","3","4"
"2026/02/18 7:33:16 pm CET","55+","Male","Spain","Senior professional / Management","7,000€+","Yes","2–4 times","No, but I would consider it","None / I switch frequently","2","2","1","2","3","3","4","4","2","3","3","3","4","2","2"
"2026/02/18 7:36:24 pm CET","35-44","Female","Spain","Senior professional / Management","Prefer not to say","Yes","2–4 times","1–2 times","Dior","4","4","3","4","4","4","5","5","4","4","3","4","4","4","4"
